Time,Frequency,Resistance
0, 5009491.900000, 445.010000
1, 5009491.100000, 445.010000
2, 5009490.500000, 445.070000
3, 5009489.800000, 445.110000
4, 5009489.216667, 445.135000
5, 5009488.433333, 445.173333
6, 5009487.785714, 445.208571
7, 5009486.900000, 445.240000
8, 5009486.385714, 445.267143
9, 5009485.600000, 445.295000
10, 5009485.000000, 445.327143
11, 5009484.385714, 445.358571
12, 5009483.800000, 445.375000
13, 5009483.371429, 445.404286
14, 5009483.042857, 445.431429
15, 5009482.500000, 445.440000
16, 5009482.328571, 445.450000
17, 5009482.385714, 445.460000
18, 5009482.400000, 445.460000
19, 5009482.485714, 445.460000
20, 5009482.585714, 445.460000
21, 5009482.700000, 445.453333
22, 5009483.128571, 445.438571
23, 5009483.714286, 445.412857
24, 5009483.966667, 445.393333
25, 5009484.257143, 445.374286
26, 5009484.814286, 445.351429
27, 5009485.483333, 445.323333
28, 5009486.016667, 445.285000
29, 5009486.528571, 445.255714
30, 5009486.933333, 445.230000
31, 5009487.600000, 445.212857
32, 5009488.128571, 445.184286
33, 5009488.900000, 445.155000
34, 5009488.985714, 445.142857
35, 5009489.342857, 445.118571
36, 5009489.900000, 445.096667
37, 5009490.328571, 445.081429
38, 5009490.742857, 445.061429
39, 5009490.900000, 445.046667
40, 5009491.071429, 445.034286
41, 5009491.357143, 445.011429
42, 5009491.733333, 444.988333
43, 5009491.971429, 444.980000
44, 5009492.000000, 444.970000
45, 5009492.200000, 444.960000
46, 5009492.457143, 444.951429
47, 5009492.757143, 444.932857
48, 5009492.966667, 444.921667
49, 5009493.000000, 444.920000
50, 5009493.342857, 444.914286
51, 5009493.900000, 444.900000
52, 5009494.200000, 444.880000
53, 5009494.800000, 444.864000
54, 5009494.966667, 444.850000
55, 5009495.342857, 444.827143
56, 5009495.816667, 444.806667
57, 5009496.414286, 444.790000
58, 5009496.757143, 444.760000
59, 5009497.300000, 444.740000
60, 5009498.000000, 444.731429
61, 5009498.766667, 444.713333
62, 5009499.483333, 444.693333
63, 5009499.771429, 444.682857
64, 5009500.133333, 444.660000
65, 5009500.457143, 444.644286
66, 5009500.842857, 444.631429
67, 5009501.066667, 444.613333
68, 5009501.014286, 444.600000
69, 5009501.000000, 444.597143
70, 5009501.083333, 444.588333
71, 5009501.185714, 444.580000
72, 5009501.200000, 444.580000
73, 5009501.033333, 444.580000
74, 5009501.000000, 444.571429
75, 5009501.257143, 444.570000
76, 5009501.466667, 444.561667
77, 5009501.500000, 444.552857
78, 5009501.414286, 444.550000
79, 5009501.566667, 444.543333
80, 5009501.671429, 444.535714
81, 5009501.871429, 444.525714
82, 5009501.983333, 444.520000
83, 5009501.928571, 444.520000
84, 5009502.157143, 444.514286
85, 5009502.366667, 444.500000
86, 5009502.614286, 444.490000
87, 5009502.700000, 444.480000
88, 5009502.700000, 444.480000
89, 5009502.842857, 444.471429
90, 5009502.985714, 444.461429
91, 5009503.083333, 444.460000
92, 5009502.885714, 444.465714
93, 5009502.800000, 444.470000
94, 5009502.716667, 444.465000
95, 5009502.771429, 444.460000
96, 5009502.800000, 444.464286
97, 5009502.466667, 444.470000
98, 5009502.257143, 444.471429
99, 5009502.114286, 444.480000
100, 5009502.100000, 444.480000
101, 5009501.957143, 444.480000
102, 5009501.642857, 444.490000
103, 5009501.600000, 444.490000
104, 5009501.600000, 444.498571
105, 5009501.428571, 444.500000
106, 5009501.150000, 444.506667
107, 5009500.957143, 444.510000
108, 5009500.900000, 444.510000
109, 5009500.900000, 444.510000
110, 5009500.828571, 444.512857
111, 5009500.800000, 444.517143
112, 5009500.883333, 444.508333
113, 5009501.042857, 444.498571
114, 5009501.271429, 444.490000
115, 5009501.216667, 444.490000
116, 5009501.342857, 444.480000
117, 5009501.828571, 444.471429
118, 5009502.233333, 444.445000
119, 5009502.657143, 444.425714
120, 5009503.057143, 444.405714
121, 5009503.683333, 444.380000
122, 5009504.514286, 444.347143
123, 5009505.657143, 444.308571
124, 5009506.550000, 444.266667
125, 5009507.057143, 444.228571
126, 5009507.771429, 444.188571
127, 5009508.500000, 444.155000
128, 5009508.957143, 444.127143
129, 5009509.357143, 444.110000
130, 5009509.650000, 444.100000
131, 5009509.985714, 444.074286
132, 5009510.700000, 444.047500
133, 5009511.650000, 444.010000
134, 5009512.275000, 443.977500
135, 5009513.000000, 443.955000
136, 5009513.840000, 443.916000
137, 5009514.750000, 443.885000
138, 5009515.650000, 443.860000
139, 5009516.157143, 443.841429
140, 5009516.728571, 443.808571
141, 5009517.400000, 443.773333
142, 5009518.140000, 443.732000
143, 5009518.966667, 443.695000
144, 5009519.350000, 443.670000
145, 5009519.880000, 443.640000
146, 5009520.600000, 443.617500
147, 5009521.250000, 443.580000
148, 5009521.900000, 443.553333
149, 5009522.000000, 443.543333
150, 5009522.150000, 443.525000
151, 5009522.466667, 443.510000
152, 5009522.742857, 443.491429
153, 5009522.966667, 443.480000
154, 5009522.833333, 443.480000
155, 5009522.800000, 443.477143
156, 5009523.050000, 443.468333
157, 5009523.242857, 443.460000
158, 5009523.466667, 443.460000
159, 5009523.214286, 443.460000
160, 5009523.028571, 443.468571
161, 5009522.916667, 443.470000
162, 5009522.833333, 443.476667
163, 5009522.533333, 443.493333
164, 5009521.828571, 443.517143
165, 5009521.385714, 443.570000
166, 5009520.966667, 443.630000
167, 5009520.471429, 443.664286
168, 5009519.883333, 443.680000
169, 5009519.157143, 443.704286
170, 5009518.550000, 443.730000
171, 5009517.800000, 443.750000
172, 5009517.300000, 443.770000
173, 5009516.533333, 443.800000
174, 5009515.816667, 443.840000
175, 5009515.116667, 443.856667
176, 5009514.680000, 443.884000
177, 5009514.100000, 443.903333
178, 5009513.357143, 443.915714
179, 5009512.600000, 443.940000
